pricing_date,option_id,model,issue_date,maturity_date,T,spot,strike,price,delta,gamma,vega,theta,rho_d,rho_f,eur_rate,tnd_rate,volatility,notional_eur,option_value_eur
2024-06-01,OPT-2024-001,black_scholes,2024-05-22,2024-11-22,0.4767123287671233,3.3802,3.1081,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.835,9.12,0.031558886326510785,999159,0.0
2024-06-01,OPT-2024-001,merton_jump,2024-05-22,2024-11-22,0.4767123287671233,3.3802,3.1081,3.042547019340936e-98,4.724426150339146e-97,7.174666602994435e-96,1.9772891184510255e-95,1.0783436441942821e-95,7.467818080632762e-97,-7.612860048130109e-97,3.835,9.12,0.031558886326510785,999159,8.999905966302534e-93
2024-06-01,OPT-2024-001,sabr,2024-05-22,2024-11-22,0.4767123287671233,3.3802,3.1081,1.1521879946874505e-67,4.066724405547931e-66,1.4184939807290096e-64,1.60770171986035e-64,3.8003500212252765e-65,6.498124406281099e-66,-6.553050628493595e-66,3.835,9.12,0.031558886326510785,999159,3.4081917359936006e-62
2024-06-01,OPT-2024-003,black_scholes,2024-02-21,2024-09-04,0.2602739726027397,3.3802,3.2507,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.835,9.12,0.031558886326510785,627035,0.0
2024-06-01,OPT-2024-003,merton_jump,2024-02-21,2024-09-04,0.2602739726027397,3.3802,3.2507,7.981813192183511e-51,8.58440041519087e-50,8.970262368015256e-49,1.627805308416548e-48,1.9439250584184687e-48,7.344621511232695e-50,-7.552367334042949e-50,3.835,9.12,0.031558886326510785,627035,1.4806450017634422e-45
2024-06-01,OPT-2024-003,sabr,2024-02-21,2024-09-04,0.2602739726027397,3.3802,3.2507,1.5434928377244318e-96,1.446971006225176e-94,1.3490363184354242e-92,5.122972053183699e-93,1.3341039470580466e-93,1.2689960667183125e-94,-1.2730133768438965e-94,3.835,9.12,0.031558886326510785,627035,2.863215287564461e-91
2024-06-01,OPT-2024-006,black_scholes,2024-01-11,2024-12-26,0.5698630136986301,3.3802,3.311,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.835,9.12,0.031558886326510785,356508,0.0
2024-06-01,OPT-2024-006,merton_jump,2024-01-11,2024-12-26,0.5698630136986301,3.3802,3.311,1.77818325043703e-129,3.320523340434521e-128,6.0897207945888225e-127,1.835881236641512e-126,7.511385887515163e-127,6.294829181975227e-128,-6.396161268575472e-128,3.835,9.12,0.031558886326510785,356508,1.8674852832345628e-124
2024-06-01,OPT-2024-006,sabr,2024-01-11,2024-12-26,0.5698630136986301,3.3802,3.311,2.996663089005876e-63,8.002804605775608e-62,2.1057741639503005e-60,3.3276025779876736e-60,7.325511992892923e-61,1.5244641299903455e-61,-1.5415410045797487e-61,3.835,9.12,0.031558886326510785,356508,3.147158323617825e-58
2024-06-01,OPT-2024-007,black_scholes,2024-01-10,2024-02-18,0.0,3.3802,3.191,0.18920000000000003,1.0,0.0,0.0,0.0,0.0,0.0,3.835,9.12,0.031558886326510785,308261,17179.58738107161
2024-06-01,OPT-2024-007,merton_jump,2024-01-10,2024-02-18,0.0,3.3802,3.191,0.18920000000000003,1.0,0.0,0.0,0.0,0.0,0.0,3.835,9.12,0.031558886326510785,308261,17179.58738107161
2024-06-01,OPT-2024-007,sabr,2024-01-10,2024-02-18,0.0,3.3802,3.191,0.18920000000000003,1.0,,,,,,3.835,9.12,0.031558886326510785,308261,17179.58738107161
2024-06-01,OPT-2024-008,black_scholes,2024-03-14,2024-07-02,0.08493150684931507,3.3802,3.1626,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.835,9.12,0.031558886326510785,661353,0.0
2024-06-01,OPT-2024-008,merton_jump,2024-03-14,2024-07-02,0.08493150684931507,3.3802,3.1626,5.2949717177881224e-18,5.73472358905586e-17,6.027826784902699e-16,3.4964947259880465e-16,1.3382653866090043e-15,1.6013848784174854e-17,-1.64635587108911e-17,3.835,9.12,0.031558886326510785,661353,1.0389382989599264e-12
2024-06-01,OPT-2024-008,sabr,2024-03-14,2024-07-02,0.08493150684931507,3.3802,3.1626,1.3267513739914277e-156,7.164785514420764e-154,3.861530651543459e-151,1.8637851561705273e-152,7.3471924302004e-153,2.0557790546445472e-154,-2.0569058845786217e-154,3.835,9.12,0.031558886326510785,661353,2.603248684042463e-151
2024-06-01,OPT-2024-011,black_scholes,2024-01-19,2024-11-19,0.4684931506849315,3.3802,3.1399,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.835,9.12,0.031558886326510785,401648,0.0
2024-06-01,OPT-2024-011,merton_jump,2024-01-19,2024-11-19,0.4684931506849315,3.3802,3.1399,3.887707029212541e-96,5.944011296994144e-95,8.884548066116281e-94,2.427127452380886e-93,1.3546692732610168e-93,9.230803135406844e-95,-9.412939546912419e-95,3.835,9.12,0.031558886326510785,401648,4.6077955408084236e-91
2024-06-01,OPT-2024-011,sabr,2024-01-19,2024-11-19,0.4684931506849315,3.3802,3.1399,1.5251372459972203e-68,5.5341443526021385e-67,1.9850618245266772e-65,2.1844091796892005e-65,5.152265691451397e-66,8.692422393828194e-67,-8.763874029188612e-67,3.835,9.12,0.031558886326510785,401648,1.807626075838915e-63
2024-06-01,OPT-2024-014,black_scholes,2024-05-16,2024-11-08,0.4383561643835616,3.3802,3.2867,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.835,9.12,0.031558886326510785,572525,0.0
2024-06-01,OPT-2024-014,merton_jump,2024-05-16,2024-11-08,0.4383561643835616,3.3802,3.2867,6.603857365069761e-89,9.53493381445263e-88,1.3438481917917308e-86,3.549556617260049e-86,2.1569502602426824e-86,1.3838727690128568e-87,-1.4128211848597381e-87,3.835,9.12,0.031558886326510785,572525,1.1180062209286665e-83
